Serial No.,Age,Job,Duration,Sex_male,Housing_own,Housing_rent,Saving accounts_moderate,Saving accounts_quite rich,Saving accounts_rich,Checking account_moderate,Checking account_rich,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others
-1.6298606248528296,2.4146466692238966,0.1469491804436178,3.2438149974736814,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0.12297566882524007,-0.22392694761579512,0.1469491804436178,0.008047933466888799,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False
0.6772322043756178,1.2712647685933636,0.1469491804436178,-1.2364778603818776,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False
0.199185942463417,-0.5757367631944207,0.1469491804436178,0.008047933466888799,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
1.1656707763293883,-1.279356394351672,0.1469491804436178,-0.738667542842371,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0.33428597300382157,-1.103451486562359,0.1469491804436178,0.2569530922366421,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
-1.1587425696350084,-0.3118794015104515,0.1469491804436178,-1.2364778603818776,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False
1.449727250798957,-0.22392694761579512,0.1469491804436178,0.2569530922366421,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False
-0.015588465062354374,-1.3673088482463283,0.1469491804436178,0.2569530922366421,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
1.12410153616311,-0.048022039826482336,1.677669810064635,-0.2408572253028645,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
-1.5051529043539946,1.0953598608040507,0.1469491804436178,0.5058582510063954,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
-1.2418810499675652,-0.4877843092997643,1.677669810064635,1.2525737273156552,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
1.473975974229286,0.919454953014738,0.1469491804436178,-0.738667542842371,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
1.1344938462046794,0.03993041406817406,0.1469491804436178,-0.2408572253028645,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0.5386680704880233,-1.1914039404570154,0.1469491804436178,-0.5727307703292022,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
-0.5837014140014916,-0.4877843092997643,0.1469491804436178,-0.2408572253028645,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
0.5698450006127321,1.2712647685933636,-1.3837714491773996,-1.2364778603818776,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
-0.8677578884710602,-1.1914039404570154,0.1469491804436178,-0.2408572253028645,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1.4116221139798684,-0.7516416709837335,0.1469491804436178,1.2525737273156552,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False
0.722265547889086,-0.9275465787730462,0.1469491804436178,-0.9875727016121243,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
-0.673768101028428,-0.22392694761579512,0.1469491804436178,-1.2364778603818776,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False
0.8123322349160224,0.12788286796283044,0.1469491804436178,-1.4024146328950464,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
1.647181141588779,1.8869319458559584,-1.3837714491773996,0.2569530922366421,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False
-1.5605785579090323,-0.6636892170890771,0.1469491804436178,-0.738667542842371,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
1.3735169771607798,-0.6636892170890771,1.677669810064635,0.008047933466888799,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
-1.7233914152269558,1.1833123146987072,-1.3837714491773996,-0.738667542842371,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
0.15415259894994882,2.238741761434584,-1.3837714491773996,-0.738667542842371,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
-0.5178834504048843,-1.103451486562359,0.1469491804436178,-0.9875727016121243,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
1.4012298039382989,0.03993041406817406,1.677669810064635,0.2569530922366421,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0.12643977217242994,3.4700761159597735,1.677669810064635,-1.2364778603818776,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
-0.5386680704880233,0.12788286796283044,-1.3837714491773996,-0.9046043153555399,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False
1.7129991051853863,1.2712647685933636,0.1469491804436178,-0.738667542842371,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
-0.06408591192301243,-0.8395941248783899,0.1469491804436178,0.2569530922366421,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False
0.2615398027128345,-1.0154990326677027,0.1469491804436178,-0.4897623840726178,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
-1.6160042114640703,1.8869319458559584,-1.3837714491773996,-0.738667542842371,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
